t,count
35340,99
35360,82
35380,88
35400,86
35420,86
35440,91
35460,110
35480,69
35500,107
35520,67
35540,70
35560,87
35580,87
35600,111
35620,91
35640,104
35660,100
35680,87
35700,110
35720,86
35740,91
35760,81
35780,104
35800,98
35820,82
35840,107
35860,83
35880,68
35900,90
35920,106
35940,77
35960,96
35980,100
36000,102
36020,98
36040,82
36060,84
36080,93
36100,74
36120,92
36140,85
36160,115
36180,119
36200,93
36220,103
36240,93
36260,97
36280,104
36300,99
36320,76
36340,85
36360,86
36380,76
36400,123
36420,110
36440,70
36460,100
36480,108
36500,122
36520,83
36540,103
36560,80
36580,90
36600,81
36620,85
36640,76
36660,106
36680,78
36700,103
36720,98
36740,80
36760,93
36780,79
36800,88
36820,91
36840,80
36860,107
36880,98
36900,95
36920,82
36940,66
36960,101
36980,80
37000,87
37020,98
37040,88
37060,83
37080,110
37100,87
37120,90
37140,91
37160,90
37180,93
37200,100
37220,95
37240,85
37260,88
37280,90
37300,105
37320,110
37340,83
37360,91
37380,127
37400,92
37420,77
37440,82
37460,90
37480,104
37500,96
37520,109
37540,119
37560,89
37580,97
37600,95
37620,68
37640,95
37660,66
37680,77
37700,82
37720,100
37740,95
37760,67
37780,85
37800,85
37820,83
37840,106
37860,105
37880,94
37900,99
37920,101
37940,88
37960,95
37980,95
38000,93
38020,83
38040,95
38060,80
38080,81
38100,95
38120,76
38140,92
38160,105
38180,116
38200,86
38220,79
38240,80
38260,78
38280,94
38300,83
38320,89
38340,78
38360,87
38380,58
38400,84
38420,74
38440,98
38460,96
38480,92
38500,89
38520,84
38540,106
38560,101
38580,75
38600,88
38620,94
38640,91
38660,92
38680,78
38700,81
38720,99
38740,87
38760,90
38780,69
38800,82
38820,77
38840,66
38860,108
38880,82
38900,82
38920,100
38940,104
38960,54
38980,102
39000,82
39020,91
39040,114
39060,86
39080,105
39100,74
39120,100
39140,83
39160,95
39180,81
39200,68
39220,99
39240,79
39260,81
39280,103
39300,107
39320,86
39340,100
39360,63
39380,101
39400,74
39420,91
39440,96
39460,66
39480,80
39500,80
39520,73
39540,100
39560,132
39580,66
39600,105
39620,74
39640,67
39660,92
39680,67
39700,104
39720,94
39740,107
39760,88
39780,93
39800,109
39820,93
39840,69
39860,75
39880,78
39900,67
39920,82
39940,111
39960,88
39980,91
40000,82
40020,82
40040,74
40060,84
40080,110
40100,80
40120,70
40140,70
40160,90
40180,94
40200,80
40220,88
40240,90
40260,74
40280,82
40300,70
40320,76
40340,62
40360,87
40380,112
40400,75
40420,83
40440,82
40460,82
40480,86
40500,108
40520,92
40540,82
40560,93
40580,75
40600,100
40620,81
40640,70
40660,88
40680,106
40700,106
40720,85
40740,68
40760,83
40780,93
40800,92
40820,81
40840,98
40860,65
40880,83
40900,96
40920,77
40940,115
40960,98
40980,74
41000,85
41020,92
41040,56
41060,91
41080,101
41100,101
41120,103
41140,80
41160,82
41180,93
41200,98
41220,90
41240,82
41260,78
41280,100
41300,72
41320,72
41340,87
41360,81
41380,72
41400,84
41420,93
41440,90
41460,74
41480,102
41500,96
41520,74
41540,113
41560,60
41580,110
41600,90
41620,82
41640,93
41660,100
41680,72
41700,57
41720,84
41740,99
41760,79
41780,81
41800,93
41820,96
41840,91
41860,74
41880,87
41900,85
41920,71
41940,93
41960,103
41980,76
42000,105
42020,88
42040,93
42060,91
42080,91
42100,94
42120,66
42140,94
42160,70
42180,71
42200,81
42220,82
42240,93
42260,82
42280,101
42300,89
42320,85
42340,48
42360,86
42380,99
42400,87
42420,102
42440,75
42460,70
42480,100
42500,66
42520,88
42540,76
42560,68
42580,98
42600,88
42620,93
42640,87
42660,98
42680,70
42700,80
42720,67
42740,64
42760,58
42780,69
42800,106
42820,79
42840,69
42860,70
42880,82
42900,101
42920,81
42940,66
42960,113
42980,69
43000,106
43020,104
43040,70
43060,66
43080,77
43100,67
43120,89
43140,88
43160,85
43180,70
43200,97
43220,86
43240,83
43260,87
43280,76
43300,73
43320,96
43340,81
43360,75
43380,94
